original_word	ner	m_ner
I	B-PERX	O
AM	O	O
BORN	O	O
Whether	O	O
I	B-PERX	O
shall	O	O
turn	O	O
out	O	O
to	O	O
be	O	O
the	B-PERX	O
hero	I-PERX	O
of	O	O
my	B-PERX	O
own	O	O
life	O	O
,	O	O
or	O	O
whether	O	O
that	O	O
station	O	O
will	O	O
be	O	O
held	O	O
by	O	O
anybody	B-PERX	O
else	I-PERX	O
,	I-PERX	O
these	O	O
pages	O	O
must	O	O
show	O	O
.	O	O
To	O	O
begin	O	O
my	B-PERX	O
life	O	O
with	O	O
the	O	O
beginning	O	O
of	O	O
my	B-PERX	O
life	O	O
,	O	O
I	B-PERX	O
record	O	O
that	O	O
I	B-PERX	O
was	O	O
born	O	O
(	O	O
as	O	O
I	B-PERX	O
have	O	O
been	O	O
informed	O	O
and	O	O
believe	O	O
)	O	O
on	O	O
a	O	O
Friday	O	O
,	O	O
at	O	O
twelve	O	O
o’clock	O	O
at	O	O
night	O	O
.	O	O
It	O	O
was	O	O
remarked	O	O
that	O	O
the	O	O
clock	O	O
began	O	O
to	O	O
strike	O	O
,	O	O
and	O	O
I	B-PERX	O
began	O	O
to	O	O
cry	O	O
,	O	O
simultaneously	O	O
.	O	O
In	O	O
consideration	O	O
of	O	O
the	O	O
day	O	O
and	O	O
hour	O	O
of	O	O
my	B-PERX	O
birth	O	O
,	O	O
it	O	O
was	O	O
declared	O	O
by	O	O
the	O	O
nurse	O	O
,	O	O
and	O	O
by	O	O
some	O	O
sage	O	O
women	O	O
in	O	O
the	O	O
neighbourhood	O	O
who	O	O
had	O	O
taken	O	O
a	O	O
lively	O	O
interest	O	O
in	O	O
me	B-PERX	O
several	O	O
months	O	O
before	O	O
there	O	O
was	O	O
any	O	O
possibility	O	O
of	O	O
our	B-PERX	O
becoming	O	O
personally	O	O
acquainted	O	O
,	O	O
first	O	O
,	O	O
that	O	O
I	B-PERX	O
was	O	O
destined	O	O
to	O	O
be	O	O
unlucky	O	O
in	O	O
life	O	O
;	O	O
and	O	O
secondly	O	O
,	O	O
that	O	O
I	B-PERX	O
was	O	O
privileged	O	O
to	O	O
see	O	O
ghosts	O	O
and	O	O
spirits	O	O
;	O	O
both	O	O
these	O	O
gifts	O	O
inevitably	O	O
attaching	O	O
,	O	O
as	O	O
they	B-PERX	O
believed	O	O
,	O	O
to	O	O
all	O	O
unlucky	O	O
infants	O	O
of	O	O
either	O	O
gender	O	O
,	O	O
born	O	O
towards	O	O
the	O	O
small	O	O
hours	O	O
on	O	O
a	O	O
Friday	O	O
night	O	O
.	O	O
I	B-PERX	O
need	O	O
say	O	O
nothing	O	O
here	O	O
,	O	O
on	O	O
the	O	O
first	O	O
head	O	O
,	O	O
because	O	O
nothing	O	O
can	O	O
show	O	O
better	O	O
than	O	O
my	B-PERX	O
history	O	O
whether	O	O
that	O	O
prediction	O	O
was	O	O
verified	O	O
or	O	O
falsified	O	O
by	O	O
the	O	O
result	O	O
.	O	O
On	O	O
the	O	O
second	O	O
branch	O	O
of	O	O
the	O	O
question	O	O
,	O	O
I	B-PERX	O
will	O	O
only	O	O
remark	O	O
,	O	O
that	O	O
unless	O	O
I	B-PERX	O
