original_word	ner	m_ner
I	B-PERX	O
arrived	O	O
here	O	O
yesterday	O	O
,	O	O
and	O	O
my	B-PERX	O
first	O	O
task	O	O
is	O	O
to	O	O
assure	O	O
my	B-PERX	O
dear	I-PERX	O
sister	I-PERX	O
of	O	O
my	B-PERX	O
welfare	O	O
and	O	O
increasing	O	O
confidence	O	O
in	O	O
the	O	O
success	O	O
of	O	O
my	B-PERX	O
undertaking	O	O
.	O	O
I	B-PERX	O
am	O	O
already	O	O
far	O	O
north	O	O
of	O	O
London	O	O
,	O	O
and	O	O
as	O	O
I	B-PERX	O
walk	O	O
in	O	O
the	O	O
streets	O	O
of	O	O
Petersburgh	O	O
,	O	O
I	B-PERX	O
feel	O	O
a	O	O
cold	O	O
northern	O	O
breeze	O	O
play	O	O
upon	O	O
my	B-PERX	O
cheeks	O	O
,	O	O
which	O	O
braces	O	O
my	B-PERX	O
nerves	O	O
and	O	O
fills	O	O
me	B-PERX	O
with	O	O
delight	O	O
.	O	O
Do	O	O
you	B-PERX	O
understand	O	O
this	O	O
feeling	O	O
?	O	O
This	O	O
breeze	O	O
,	O	O
which	O	O
has	O	O
travelled	O	O
from	O	O
the	O	O
regions	O	O
towards	O	O
which	O	O
I	B-PERX	O
am	O	O
advancing	O	O
,	O	O
gives	O	O
me	B-PERX	O
a	O	O
foretaste	O	O
of	O	O
those	O	O
icy	O	O
climes	O	O
.	O	O
Inspirited	O	O
by	O	O
this	O	O
wind	O	O
of	O	O
promise	O	O
,	O	O
my	B-PERX	O
daydreams	O	O
become	O	O
more	O	O
fervent	O	O
and	O	O
vivid	O	O
.	O	O
I	B-PERX	O
try	O	O
in	O	O
vain	O	O
to	O	O
be	O	O
persuaded	O	O
that	O	O
the	O	O
pole	O	O
is	O	O
the	O	O
seat	O	O
of	O	O
frost	O	O
and	O	O
desolation	O	O
;	O	O
it	O	O
ever	O	O
presents	O	O
itself	O	O
to	O	O
my	B-PERX	O
imagination	O	O
as	O	O
the	O	O
region	O	O
of	O	O
beauty	O	O
and	O	O
delight	O	O
.	O	O
There	O	O
,	O	O
Margaret	B-PERSON	O
,	B-PERSON	O
the	O	O
sun	O	O
is	O	O
forever	O	O
visible	O	O
,	O	O
its	O	O
broad	O	O
disk	O	O
just	O	O
skirting	O	O
the	O	O
horizon	O	O
and	O	O
diffusing	O	O
a	O	O
perpetual	O	O
splendour	O	O
.	O	O
There	O	O
--	O	O
for	O	O
with	O	O
your	B-PERX	O
leave	O	O
,	O	O
my	B-PERX	O
sister	I-PERX	O
,	I-PERX	O
I	B-PERX	O
will	O	O
put	O	O
some	O	O
trust	O	O
in	O	O
preceding	O	O
navigators	O	O
--	O	O
there	O	O
snow	O	O
and	O	O
frost	O	O
are	O	O
banished	O	O
;	O	O
and	O	O
,	O	O
sailing	O	O
over	O	O
a	O	O
calm	O	O
sea	O	O
,	O	O
we	B-PERX	O
may	O	O
be	O	O
wafted	O	O
to	O	O
a	O	O
land	O	O
surpassing	O	O
in	O	O
wonders	O	O
and	O	O
in	O	O
beauty	O	O
every	O	O
region	O	O
hitherto	O	O
discovered	O	O
on	O	O
the	O	O
habitable	O	O
globe	O	O
.	O	O
Its	O	O
productions	O	O
and	O	O
features	O	O
may	O	O
be	O	O
without	O	O
