original_word	ner	m_ner
However	O	O
little	O	O
known	O	O
the	O	O
feelings	O	O
or	O	O
views	O	O
of	O	O
such	B-PERX	O
a	I-PERX	O
man	I-PERX	O
may	O	O
be	O	O
on	O	O
his	O	O
first	O	O
entering	O	O
a	O	O
neighbourhood	O	O
,	O	O
this	O	O
truth	O	O
is	O	O
so	O	O
well	O	O
fixed	O	O
in	O	O
the	O	O
minds	O	O
of	O	O
the	B-PERX	O
surrounding	I-PERX	O
families	I-PERX	O
,	I-PERX	O
that	O	O
he	B-PERX	O
is	O	O
considered	O	O
the	O	O
rightful	O	O
property	O	O
of	O	O
some	B-PERX	O
one	I-PERX	O
or	O	O
other	B-PERX	O
of	O	O
their	B-PERX	O
daughters	I-PERX	O
.	I-PERX	O
“	B-PERX	O
My	B-PERX	O
dear	I-PERX	O
Mr.	O	O
Bennet	B-PERSON	O
,	B-PERSON	O
”	B-PERSON	O
said	O	O
his	B-PERX	O
lady	I-PERX	O
to	O	O
him	B-PERX	O
one	O	O
day	O	O
,	O	O
“	O	O
have	O	O
you	B-PERX	O
heard	O	O
that	O	O
Netherfield	O	O
Park	O	O
is	O	O
let	O	O
at	O	O
last	O	O
?	O	O
”	O	O
Mr.	O	O
Bennet	B-PERSON	O
replied	O	O
that	O	O
he	B-PERX	O
had	O	O
not	O	O
.	O	O
“	O	O
But	O	O
it	O	O
is	O	O
,	O	O
”	O	O
returned	O	O
she	B-PERX	O
;	B-PERX	O
“	O	O
for	O	O
Mrs.	O	O
Long	B-PERSON	O
has	O	O
just	O	O
been	O	O
here	O	O
,	O	O
and	O	O
she	B-PERX	O
told	O	O
me	B-PERX	O
all	O	O
about	O	O
it	O	O
.	O	O
”	O	O
Mr.	O	O
Bennet	B-PERSON	O
made	O	O
no	O	O
answer	O	O
.	O	O
“	O	O
Do	O	O
you	B-PERX	O
not	O	O
want	O	O
to	O	O
know	O	O
who	B-PERX	O
has	O	O
taken	O	O
it	O	O
?	O	O
”	O	O
cried	O	O
his	O	O
wife	O	O
impatiently	O	O
.	O	O
“	O	O
_	O	O
You	O	O
_	O	O
want	O	O
to	O	O
tell	O	O
me	O	O
,	O	O
and	O	O
I	O	O
have	O	O
no	O	O
objection	O	O
to	O	O
hearing	O	O
it	O	O
.	O	O
”	O	O
This	O	O
was	O	O
