original_word	ner	m_ner
Buck	B-PERSON	O
did	O	O
not	O	O
read	O	O
the	O	O
newspapers	O	O
,	O	O
or	O	O
he	B-PERX	O
would	O	O
have	O	O
known	O	O
that	O	O
trouble	O	O
was	O	O
brewing	O	O
,	O	O
not	O	O
alone	O	O
for	O	O
himself	B-PERX	O
,	B-PERX	O
but	O	O
for	O	O
every	B-PERX	O
tide	I-PERX	O
-	I-PERX	O
water	I-PERX	O
dog	I-PERX	O
,	I-PERX	O
strong	I-PERX	O
of	I-PERX	O
muscle	I-PERX	O
and	I-PERX	O
with	I-PERX	O
warm	I-PERX	O
,	I-PERX	O
long	I-PERX	O
hair	I-PERX	O
,	I-PERX	O
from	I-PERX	O
Puget	I-PERX	O
Sound	I-PERX	O
to	I-PERX	O
San	I-PERX	O
Diego	I-PERX	O
.	I-PERX	O
Because	O	O
men	O	O
,	O	O
groping	O	O
in	O	O
the	O	O
Arctic	O	O
darkness	O	O
,	O	O
had	O	O
found	O	O
a	O	O
yellow	O	O
metal	O	O
,	O	O
and	O	O
because	O	O
steamship	O	O
and	O	O
transportation	O	O
companies	O	O
were	O	O
booming	O	O
the	O	O
find	O	O
,	O	O
thousands	B-PERX	O
of	I-PERX	O
men	I-PERX	O
were	O	O
rushing	O	O
into	O	O
the	O	O
Northland	O	O
.	O	O
These	B-PERX	O
men	I-PERX	O
wanted	O	O
dogs	O	O
,	O	O
and	O	O
the	O	O
dogs	O	O
they	O	O
wanted	O	O
were	O	O
heavy	B-PERX	O
dogs	I-PERX	O
,	I-PERX	O
with	I-PERX	O
strong	I-PERX	O
muscles	I-PERX	O
by	I-PERX	O
which	I-PERX	O
to	I-PERX	O
toil	I-PERX	O
,	I-PERX	O
and	I-PERX	O
furry	I-PERX	O
coats	I-PERX	O
to	I-PERX	O
protect	I-PERX	O
them	I-PERX	O
from	I-PERX	O
the	I-PERX	O
frost	I-PERX	O
.	I-PERX	O
Buck	B-PERSON	O
lived	O	O
at	O	O
a	O	O
big	O	O
house	O	O
in	O	O
the	O	O
sun	O	O
-	O	O
kissed	O	O
Santa	O	O
Clara	O	O
