original_word	ner	m_ner
A	B-PERX	O
black	I-PERX	O
servant	I-PERX	O
,	I-PERX	O
who	I-PERX	O
reposed	I-PERX	O
on	I-PERX	O
the	I-PERX	O
box	I-PERX	O
beside	I-PERX	O
the	I-PERX	O
fat	I-PERX	O
coachman	I-PERX	O
,	I-PERX	O
uncurled	O	O
his	O	O
bandy	O	O
legs	O	O
as	O	O
soon	O	O
as	O	O
the	O	O
equipage	O	O
drew	O	O
up	O	O
opposite	O	O
Miss	O	O
Pinkerton	O	O
's	O	O
shining	O	O
brass	O	O
plate	O	O
,	O	O
and	O	O
as	O	O
he	B-PERX	O
pulled	O	O
the	O	O
bell	O	O
at	O	O
least	O	O
a	B-PERX	O
score	I-PERX	O
of	I-PERX	O
young	I-PERX	O
heads	I-PERX	O
were	O	O
seen	O	O
peering	O	O
out	O	O
of	O	O
the	O	O
narrow	O	O
windows	O	O
of	O	O
the	O	O
stately	O	O
old	O	O
brick	O	O
house	O	O
.	O	O
Nay	B-PERX	O
,	B-PERX	O
the	I-PERX	O
acute	I-PERX	O
observer	I-PERX	O
might	O	O
have	O	O
recognized	O	O
the	O	O
little	O	O
red	O	O
nose	O	O
of	O	O
good	B-PERX	O
-	B-PERX	O
natured	B-PERX	O
Miss	I-PERX	O
Jemima	I-PERX	O
Pinkerton	I-PERX	O
herself	B-PERX	O
,	B-PERX	O
rising	O	O
over	O	O
some	O	O
geranium	O	O
pots	O	O
in	O	O
the	O	O
window	O	O
of	O	O
that	O	O
lady	O	O
's	O	O
own	O	O
drawing	O	O
-	O	O
room	O	O
.	O	O
"	O	O
It	O	O
is	O	O
Mrs.	B-PERX	O
Sedley	I-PERX	O
's	I-PERX	O
coach	I-PERX	O
,	I-PERX	O
sister	B-PERX	O
,	B-PERX	O
"	B-PERX	O
said	O	O
Miss	O	O
Jemima	B-PERSON	O
.	B-PERSON	O
"	B-PERX	O
Sambo	B-PERX	O
,	B-PERX	O
the	I-PERX	O
black	I-PERX	O
servant	I-PERX	O
,	I-PERX	O
has	O	O
just	O	O
rung	O	O
the	O	O
bell	O	O
;	O	O
and	O	O
the	B-PERX	O
coachman	I-PERX	O
has	O	O
a	O	O
new	O	O
red	O	O
waistcoat	O	O
.	O	O
"	O	O
"	O	O
Have	O	O
you	B-PERX	O
completed	O	O
all	O	O
the	O	O
necessary	O	O
preparations	O	O
incident	O	O
to	O	O
Miss	O	O
Sedley	O	O
's	O	O
departure	O	O
,	O	O
Miss	O	O
Jemima	B-PERSON	O
?	B-PERSON	O
"	B-PERSON	O
asked	O	O
Miss	O	O
Pinkerton	B-PERSON	O
herself	B-PERX	O
,	B-PERX	O
that	B-PERX	O
majestic	I-PERX	O
lady	I-PERX	O
;	I-PERX	O
the	B-PERSON	O
Semiramis	I-PERSON	O
of	I-PERSON	O
Hammersmith	I-PERSON	O
,	I-PERSON	O
the	B-PERX	O
friend	I-PERX	O
of	I-PERX	O
Doctor	I-PERX	O
Johnson	I-PERX	O
,	I-PERX	O
the	B-PERX	O
correspondent	I-PERX	O
of	I-PERX	O
Mrs.	I-PERX	O
Chapone	I-PERX	O
herself	I-PERX	O
.	I-PERX	O
"	B-PERX	O
The	B-PERX	O
girls	I-PERX	O
were	O	O
up	O	O
at	O	O
four	O	O
this	O	O
morning	O	O
,	O	O
packing	O	O
her	O	O
trunks	O	O
,	O	O
sister	B-PERX	O
,	B-PERX	O
"	B-PERX	O
replied	O	O
Miss	O	O
Jemima	B-PERSON	O
;	B-PERSON	O
"	B-PERX	O
we	B-PERX	O
have	O	O
made	O	O
her	B-PERX	O
a	O	O
bow	O	O
-	O	O
pot	O	O
.	O	O
"	O	O
"	O	O
Say	O	O
a	O	O
bouquet	O	O
,	O	O
sister	B-PERX	O
Jemima	I-PERX	O
,	I-PERX	O
't	O	O
is	O	O
more	O	O
genteel	O	O
.	O	O
"	O	O
"	O	O
Well	O	O
,	O	O
a	O	O
booky	O	O
as	O	O
big	O	O
almost	O	O
as	O	O
a	O	O
haystack	O	O
;	O	O
I	B-PERX	O
have	O	O
put	O	O
up	O	O
two	O	O
bottles	O	O
of	O	O
the	O	O
gillyflower	O	O
water	O	O
for	O	O
Mrs.	O	O
Sedley	B-PERSON	O
,	B-PERSON	O
and	O	O
the	O	O
receipt	O	O
for	O	O
making	O	O
it	O	O
,	O	O
in	O	O
Amelia	O	O
's	O	O
box	O	O
.	O	O
"	O	O
"	O	O
And	O	O
I	B-PERX	O
trust	O	O
,	O	O
Miss	O	O
Jemima	B-PERSON	O
,	B-PERSON	O
you	B-PERX	O
have	O	O
made	O	O
a	O	O
copy	O	O
of	O	O
Miss	O	O
Sedley	O	O
's	O	O
account	O	O
.	O	O
This	O	O
is	O	O
it	O	O
,	O	O
is	O	O
it	O	O
?	O	O
Very	O	O
good	O	O
--	O	O
ninety	O	O
-	O	O
three	O	O
pounds	O	O
,	O	O
four	O	O
shillings	O	O
.	O	O
Be	O	O
kind	O	O
enough	O	O
to	O	O
address	O	O
it	O	O
to	O	O
John	B-PERSON	O
Sedley	I-PERSON	O
,	I-PERSON	O
Esquire	B-PERSON	O
,	B-PERSON	O
and	O	O
to	O	O
seal	O	O
this	O	O
billet	O	O
which	O	O
I	B-PERX	O
have	O	O
written	O	O
to	O	O
his	B-PERX	O
lady	I-PERX	O
.	I-PERX	O
"	I-PERX	O
In	O	O
Miss	O	O
Jemima	O	O
's	O	O
eyes	O	O
an	O	O
autograph	O	O
letter	O	O
of	O	O
her	B-PERX	O
sister	I-PERX	O
,	I-PERX	O
Miss	O	O
Pinkerton	B-PERSON	O
,	B-PERSON	O
was	O	O
an	O	O
object	O	O
of	O	O
as	O	O
deep	O	O
veneration	O	O
as	O	O
would	O	O
have	O	O
been	O	O
a	O	O
letter	O	O
from	O	O
a	B-PERX	O
sovereign	I-PERX	O
.	I-PERX	O
Only	O	O
when	O	O
her	B-PERX	O
pupils	I-PERX	O
quitted	O	O
the	O	O
establishment	O	O
,	O	O
or	O	O
when	O	O
they	B-PERX	O
were	O	O
about	O	O
to	O	O
be	O	O
married	O	O
,	O	O
and	O	O
once	O	O
,	O	O
when	O	O
poor	B-PERX	O
Miss	I-PERX	O
Birch	I-PERX	O
died	O	O
of	O	O
the	O	O
scarlet	O	O
fever	O	O
,	O	O
was	O	O
Miss	O	O
Pinkerton	B-PERSON	O
known	O	O
to	O	O
write	O	O
personally	O	O
to	O	O
the	B-PERX	O
parents	I-PERX	O
of	I-PERX	O
her	I-PERX	O
pupils	I-PERX	O
;	I-PERX	O
and	O	O
it	O	O
was	O	O
Jemima	O	O
's	O	O
opinion	O	O
that	O	O
if	O	O
anything	O	O
could	O	O
console	O	O
Mrs.	O	O
Birch	B-PERSON	O
for	O	O
her	O	O
daughter	O	O
's	O	O
loss	O	O
,	O	O
it	O	O
would	O	O
be	O	O
that	O	O
pious	O	O
and	O	O
eloquent	O	O
composition	O	O
in	O	O
which	O	O
Miss	O	O
Pinkerton	B-PERSON	O
announced	O	O
the	O	O
event	O	O
.	O	O
In	O	O
the	O	O
present	O	O
instance	O	O
Miss	O	O
Pinkerton	O	O
's	O	O
"	O	O
billet	O	O
"	O	O
was	O	O
to	O	O
the	O	O
following	O	O
effect	O	O
:	O	O
--	O	O
The	O	O
Mall	O	O
,	O	O
Chiswick	O	O
,	O	O
June	O	O
15	O	O
,	O	O
18	O	O
MADAM	B-PERX	O
,	B-PERX	O
--	B-PERX	O
After	B-PERX	O
her	O	O
six	O	O
years	O	O
'	O	O
residence	O	O
at	O	O
the	O	O
Mall	O	O
,	O	O
I	B-PERX	O
have	O	O
the	O	O
honour	O	O
and	O	O
happiness	O	O
of	O	O
presenting	O	O
Miss	O	O
Amelia	B-PERX	O
Sedley	I-PERX	O
to	O	O
her	B-PERX	O
parents	I-PERX	O
,	I-PERX	O
as	O	O
a	B-PERX	O
young	I-PERX	O
lady	I-PERX	O
not	O	O
unworthy	O	O
to	O	O
occupy	O	O
a	O	O
fitting	O	O
position	O	O
in	O	O
their	B-PERX	O
polished	I-PERX	O
and	I-PERX	O
refined	I-PERX	O
circle	I-PERX	O
.	I-PERX	O
Those	O	O
virtues	O	O
which	O	O
characterize	O	O
the	B-PERX	O
young	I-PERX	O
English	I-PERX	O
gentlewoman	I-PERX	O
,	I-PERX	O
those	O	O
accomplishments	O	O
which	O	O
become	O	O
her	O	O
birth	O	O
and	O	O
station	O	O
,	O	O
will	O	O
not	O	O
be	O	O
found	O	O
wanting	O	O
in	O	O
the	B-PERX	O
amiable	I-PERX	O
Miss	I-PERX	O
Sedley	I-PERX	O
,	I-PERX	O
whose	O	O
INDUSTRY	O	O
and	O	O
OBEDIENCE	O	O
have	O	O
endeared	O	O
her	B-PERX	O
to	O	O
her	B-PERX	O
instructors	I-PERX	O
,	I-PERX	O
and	O	O
whose	O	O
delightful	O	O
sweetness	O	O
of	O	O
temper	O	O
has	O	O
charmed	O	O
her	B-PERX	O
AGED	I-PERX	O
and	I-PERX	O
her	I-PERX	O
YOUTHFUL	I-PERX	O
companions	I-PERX	O
.	I-PERX	O
In	O	O
music	O	O
,	O	O
in	O	O
dancing	O	O
,	O	O
in	O	O
orthography	O	O
,	O	O
in	O	O
every	O	O
variety	O	O
of	O	O
embroidery	O	O
and	O	O
needlework	O	O
,	O	O
she	B-PERX	O
will	O	O
be	O	O
found	O	O
to	O	O
have	O	O
realized	O	O
her	O	O
friends	O	O
'	O	O
fondest	O	O
wishes	O	O
.	O	O
In	O	O
geography	O	O
there	O	O
is	O	O
still	O	O
much	O	O
to	O	O
be	O	O
desired	O	O
;	O	O
and	O	O
a	O	O
careful	O	O
and	O	O
undeviating	O	O
use	O	O
of	O	O
the	O	O
backboard	O	O
,	O	O
for	O	O
four	O	O
hours	O	O
daily	O	O
during	O	O
the	O	O
next	O	O
three	O	O
years	O	O
,	O	O
is	O	O
recommended	O	O
as	O	O
necessary	O	O
to	O	O
the	O	O
acquirement	O	O
of	O	O
that	O	O
dignified	O	O
DEPORTMENT	O	O
AND	O	O
CARRIAGE	O	O
,	O	O
so	O	O
requisite	O	O
for	O	O
every	B-PERX	O
young	I-PERX	O
lady	I-PERX	O
of	I-PERX	O
FASHION	I-PERX	O
.	I-PERX	O
In	O	O
the	O	O
principles	O	O
of	O	O
religion	O	O
and	O	O
morality	O	O
,	O	O
Miss	O	O
Sedley	B-PERSON	O
will	O	O
be	O	O
found	O	O
worthy	O	O
of	O	O
an	O	O
establishment	O	O
which	O	O
has	O	O
been	O	O
honoured	O	O
by	O	O
the	O	O
presence	O	O
of	O	O
THE	B-PERSON	O
GREAT	I-PERSON	O
LEXICOGRAPHER	I-PERSON	O
,	I-PERSON	O
and	O	O
the	O	O
patronage	O	O
of	O	O
the	B-PERX	O
admirable	I-PERX	O
Mrs.	I-PERX	O
Chapone	I-PERX	O
.	I-PERX	O
In	O	O
leaving	O	O
the	O	O
Mall	O	O
,	O	O
Miss	O	O
Amelia	B-PERSON	O
carries	O	O
with	O	O
her	B-PERX	O
the	O	O
hearts	O	O
of	O	O
her	O	O
companions	O	O
,	O	O
and	O	O
the	O	O
affectionate	O	O
regards	O	O
of	O	O
her	O	O
mistress	O	O
,	O	O
who	O	O
has	O	O
the	O	O
honour	O	O
to	O	O
subscribe	O	O
herself	O	O
,	O	O
Madam	O	O
,	O	O
Your	O	O
most	O	O
obliged	O	O
humble	O	O
servant	O	O
,	O	O
BARBARA	O	O
PINKERTON	O	O
P.S.	O	O
--	O	O
Miss	O	O
Sharp	O	O
accompanies	O	O
Miss	O	O
