original_word	ner	m_ner
She	B-PERX	O
was	O	O
the	B-PERX	O
youngest	I-PERX	O
of	I-PERX	O
the	I-PERX	O
two	I-PERX	O
daughters	I-PERX	O
of	I-PERX	O
a	I-PERX	O
most	I-PERX	O
affectionate	I-PERX	O
,	I-PERX	O
indulgent	I-PERX	O
father	I-PERX	O
;	O	O
and	O	O
had	O	O
,	O	O
in	O	O
consequence	O	O
of	O	O
her	B-PERX	O
sister	I-PERX	O
's	O	O
marriage	O	O
,	O	O
been	O	O
mistress	B-PERX	O
of	I-PERX	O
his	I-PERX	O
house	I-PERX	O
from	O	O
a	O	O
very	O	O
early	O	O
period	O	O
.	O	O
Her	B-PERX	O
mother	I-PERX	O
had	O	O
died	O	O
too	O	O
long	O	O
ago	O	O
for	O	O
her	B-PERX	O
to	O	O
have	O	O
more	O	O
than	O	O
an	O	O
indistinct	O	O
remembrance	O	O
of	O	O
her	B-PERX	O
caresses	O	O
;	O	O
and	O	O
her	B-PERX	O
place	O	O
had	O	O
been	O	O
supplied	O	O
by	O	O
an	B-PERX	O
excellent	I-PERX	O
woman	I-PERX	O
as	I-PERX	O
governess	I-PERX	O
,	I-PERX	O
who	I-PERX	O
had	I-PERX	O
fallen	I-PERX	O
little	I-PERX	O
short	I-PERX	O
of	I-PERX	O
a	I-PERX	O
mother	I-PERX	O
in	I-PERX	O
affection	I-PERX	O
.	O	O
Sixteen	O	O
years	O	O
had	O	O
Miss	O	O
Taylor	B-PERSON	O
been	O	O
in	O	O
Mr.	O	O
Woodhouse	B-PERSON	O
's	O	O
family	O	O
,	O	O
less	O	O
as	O	O
a	B-PERX	O
governess	I-PERX	O
than	O	O
a	B-PERX	O
friend	I-PERX	O
,	O	O
very	O	O
fond	O	O
of	O	O
both	B-PERX	O
daughters	I-PERX	O
,	O	O
but	O	O
particularly	O	O
of	O	O
Emma	B-PERSON	O
.	O	O
Between	O	O
_	O	O
them	B-PERX	O
_	O	O
it	O	O
was	O	O
more	O	O
the	O	O
intimacy	O	O
of	O	O
sisters	B-PERX	O
.	O	O
Even	O	O
before	O	O
Miss	O	O
Taylor	B-PERSON	O
had	O	O
ceased	O	O
to	O	O
hold	O	O
the	O	O
nominal	O	O
office	O	O
of	O	O
governess	O	O
,	O	O
the	O	O
mildness	O	O
of	O	O
her	B-PERX	O
temper	O	O
had	O	O
hardly	O	O
allowed	O	O
her	B-PERX	O
to	O	O
impose	O	O
any	O	O
restraint	O	O
;	O	O
and	O	O
the	O	O
shadow	O	O
of	O	O
authority	O	O
being	O	O
now	O	O
long	O	O
passed	O	O
away	O	O
,	O	O
they	B-PERX	O
had	O	O
been	O	O
living	O	O
together	O	O
as	O	O
friend	B-PERX	O
and	I-PERX	O
friend	I-PERX	O
very	I-PERX	O
mutually	I-PERX	O
attached	I-PERX	O
,	O	O
and	O	O
Emma	B-PERSON	O
doing	O	O
just	O	O
what	O	O
she	B-PERX	O
liked	O	O
;	O	O
highly	O	O
esteeming	O	O
Miss	O	O
Taylor	B-PERSON	O
's	O	O
judgment	O	O
,	O	O
but	O	O
directed	O	O
chiefly	O	O
by	O	O
her	B-PERX	O
own	O	O
.	O	O
The	O	O
real	O	O
evils	O	O
,	O	O
indeed	O	O
,	O	O
of	O	O
Emma	B-PERSON	O
's	O	O
situation	O	O
were	O	O
the	O	O
power	O	O
of	O	O
having	O	O
rather	O	O
too	O	O
much	O	O
her	B-PERX	O
own	O	O
way	O	O
,	O	O
and	O	O
a	O	O
disposition	O	O
to	O	O
think	O	O
a	O	O
little	O	O
too	O	O
well	O	O
of	O	O
herself	B-PERX	O
;	O	O
these	O	O
were	O	O
the	O	O
disadvantages	O	O
which	O	O
threatened	O	O
alloy	O	O
to	O	O
her	B-PERX	O
many	O	O
enjoyments	O	O
.	O	O
The	O	O
danger	O	O
,	O	O
however	O	O
,	O	O
was	O	O
at	O	O
present	O	O
so	O	O
unperceived	O	O
,	O	O
that	O	O
they	O	O
did	O	O
not	O	O
by	O	O
any	O	O
means	O	O
rank	O	O
as	O	O
misfortunes	O	O
with	O	O
her	B-PERX	O
.	O	O
Sorrow	O	O
came	O	O
--	O	O
a	O	O
gentle	O	O
sorrow	O	O
--	O	O
but	O	O
not	O	O
at	O	O
all	O	O
in	O	O
the	O	O
shape	O	O
of	O	O
any	O	O
disagreeable	O	O
consciousness	O	O
.	O	O
--	O	O
Miss	O	O
Taylor	B-PERSON	O
married	O	O
.	O	O
It	O	O
was	O	O
Miss	O	O
Taylor	B-PERSON	O
's	O	O
loss	O	O
which	O	O
first	O	O
brought	O	O
grief	O	O
.	O	O
It	O	O
was	O	O
on	O	O
the	O	O
wedding	O	O
-	O	O
day	O	O
of	O	O
this	O	O
beloved	B-PERX	O
friend	I-PERX	O
that	O	O
Emma	B-PERSON	O
first	O	O
sat	O	O
in	O	O
mournful	O	O
thought	O	O
of	O	O
