original_word	ner	m_ner
YOU	B-PERX	O
do	O	O
n't	O	O
know	O	O
about	O	O
me	B-PERX	O
without	O	O
you	B-PERX	O
have	O	O
read	O	O
a	O	O
book	O	O
by	O	O
the	O	O
name	O	O
of	O	O
The	O	O
Adventures	O	O
of	O	O
Tom	O	O
Sawyer	O	O
;	O	O
but	O	O
that	O	O
ai	O	O
n't	O	O
no	O	O
matter	O	O
.	O	O
That	O	O
book	O	O
was	O	O
made	O	O
by	O	O
Mr.	O	O
Mark	B-PERSON	O
Twain	I-PERSON	O
,	O	O
and	O	O
he	B-PERX	O
told	O	O
the	O	O
truth	O	O
,	O	O
mainly	O	O
.	O	O
There	O	O
was	O	O
things	O	O
which	O	O
he	B-PERX	O
stretched	O	O
,	O	O
but	O	O
mainly	O	O
he	B-PERX	O
told	O	O
the	O	O
truth	O	O
.	O	O
That	O	O
is	O	O
nothing	O	O
.	O	O
I	B-PERX	O
never	O	O
seen	O	O
anybody	B-PERX	O
but	O	O
lied	O	O
one	O	O
time	O	O
or	O	O
another	O	O
,	O	O
without	O	O
it	O	O
was	O	O
Aunt	B-PERSON	O
Polly	I-PERSON	O
,	O	O
or	O	O
the	B-PERX	O
widow	I-PERX	O
,	O	O
or	O	O
maybe	O	O
Mary	B-PERSON	O
.	O	O
Aunt	B-PERSON	O
Polly	I-PERSON	O
--	O	O
Tom	O	B-PERSON
's	O	O
Aunt	B-PERSON	O
Polly	I-PERSON	O
,	O	O
she	B-PERX	O
is	O	O
--	O	O
and	O	O
Mary	B-PERSON	O
,	O	O
and	O	O
the	O	O
Widow	B-PERSON	O
Douglas	I-PERSON	O
is	O	O
all	O	O
told	O	O
about	O	O
in	O	O
that	O	O
book	O	O
,	O	O
which	O	O
is	O	O
mostly	O	O
a	O	O
true	O	O
book	O	O
,	O	O
with	O	O
some	O	O
stretchers	O	O
,	O	O
as	O	O
I	B-PERX	O
said	O	O
before	O	O
.	O	O
Now	O	O
the	O	O
way	O	O
that	O	O
the	O	O
book	O	O
winds	O	O
up	O	O
is	O	O
this	O	O
:	O	O
Tom	B-PERSON	O
and	O	O
me	B-PERX	O
found	O	O
the	O	O
money	O	O
that	O	O
the	B-PERX	O
robbers	I-PERX	O
hid	O	O
in	O	O
the	O	O
cave	O	O
,	O	O
and	O	O
it	O	O
made	O	O
us	B-PERX	O
rich	O	O
.	O	O
We	B-PERX	O
got	O	O
six	O	O
thousand	O	O
dollars	O	O
apiece	O	O
--	O	O
all	O	O
gold	O	O
.	O	O
It	O	O
was	O	O
an	O	O
awful	O	O
sight	O	O
of	O	O
money	O	O
when	O	O
it	O	O
was	O	O
piled	O	O
up	O	O
.	O	O
Well	O	O
,	O	O
Judge	B-PERSON	O
Thatcher	I-PERSON	O
he	B-PERX	O
took	O	O
it	O	O
and	O	O
put	O	O
it	O	O
out	O	O
at	O	O
interest	O	O
,	O	O
and	O	O
it	O	O
fetched	O	O
us	B-PERX	O
a	O	O
dollar	O	O
a	O	O
day	O	O
apiece	O	O
all	O	O
the	O	O
year	O	O
round	O	O
--	O	O
more	O	O
than	O	O
a	O	O
body	O	O
could	O	O
tell	O	O
what	O	O
to	O	O
do	O	O
with	O	O
.	O	O
The	O	O
Widow	B-PERSON	O
Douglas	I-PERSON	O
she	B-PERX	O
took	O	O
me	B-PERX	O
for	O	O
her	B-PERX	O
son	I-PERX	O
,	O	O
and	O	O
allowed	O	O
she	B-PERX	O
would	O	O
sivilize	O	O
me	B-PERX	O
;	O	O
but	O	O
it	O	O
was	O	O
rough	O	O
living	O	O
in	O	O
the	O	O
house	O	O
all	O	O
the	O	O
time	O	O
,	O	O
considering	O	O
how	O	O
dismal	O	O
regular	O	O
and	O	O
decent	O	O
the	B-PERX	O
widow	I-PERX	O
was	O	O
in	O	O
all	O	O
her	O	O
ways	O	O
;	O	O
and	O	O
so	O	O
when	O	O
I	B-PERX	O
could	O	O
n't	O	O
stand	O	O
it	O	O
no	O	O
longer	O	O
I	B-PERX	O
lit	O	O
out	O	O
