original_word	ner	m_ner
Loomings	B-PERX	O
Call	O	O
me	B-PERX	O
Ishmael	B-PERSON	O
.	O	O
Some	O	O
years	O	O
ago	O	O
--	O	O
never	O	O
mind	O	O
how	O	O
long	O	O
precisely	O	O
--	O	O
having	O	O
little	O	O
or	O	O
no	O	O
money	O	O
in	O	O
my	B-PERX	O
purse	O	O
,	O	O
and	O	O
nothing	O	O
particular	O	O
to	O	O
interest	O	O
me	B-PERX	O
on	O	O
shore	O	O
,	O	O
I	B-PERX	O
thought	O	O
I	B-PERX	O
would	O	O
sail	O	O
about	O	O
a	O	O
little	O	O
and	O	O
see	O	O
the	O	O
watery	O	O
part	O	O
of	O	O
the	O	O
world	O	O
.	O	O
It	O	O
is	O	O
a	O	O
way	O	O
I	B-PERX	O
have	O	O
of	O	O
driving	O	O
off	O	O
the	O	O
spleen	O	O
and	O	O
regulating	O	O
the	O	O
circulation	O	O
.	O	O
Whenever	O	O
I	B-PERX	O
find	O	O
myself	B-PERX	O
growing	O	O
grim	O	O
about	O	O
the	O	O
mouth	O	O
;	O	O
whenever	O	O
it	O	O
is	O	O
a	O	O
damp	O	O
,	O	O
drizzly	O	O
November	O	O
in	O	O
my	B-PERX	O
soul	O	O
;	O	O
whenever	O	O
I	B-PERX	O
find	O	O
myself	B-PERX	O
involuntarily	O	O
pausing	O	O
before	O	O
coffin	O	O
warehouses	O	O
,	O	O
and	O	O
bringing	O	O
up	O	O
the	O	O
rear	O	O
of	O	O
every	O	O
funeral	O	O
I	B-PERX	O
meet	O	O
;	O	O
and	O	O
especially	O	O
whenever	O	O
my	B-PERX	O
hypos	O	O
get	O	O
such	O	O
an	O	O
upper	O	O
hand	O	O
of	O	O
me	B-PERX	O
,	O	O
that	O	O
it	O	O
requires	O	O
a	O	O
strong	O	O
moral	O	O
principle	O	O
to	O	O
prevent	O	O
me	B-PERX	O
from	O	O
deliberately	O	O
stepping	O	O
into	O	O
the	O	O
street	O	O
,	O	O
and	O	O
methodically	O	O
knocking	O	O
people	O	O
's	O	O
hats	O	O
off	O	O
--	O	O
then	O	O
,	O	O
I	B-PERX	O
account	O	O
it	O	O
high	O	O
time	O	O
to	O	O
get	O	O
to	O	O
sea	O	O
as	O	O
soon	O	O
as	O	O
I	B-PERX	O
can	O	O
.	O	O
This	O	O
is	O	O
my	B-PERX	O
substitute	O	O
for	O	O
pistol	O	O
and	O	O
ball	O	O
.	O	O
With	O	O
a	O	O
philosophical	O	O
flourish	O	O
Cato	B-PERSON	O
throws	O	O
himself	B-PERX	O
upon	O	O
his	B-PERX	O
sword	O	O
;	O	O
I	B-PERX	O
quietly	O	O
take	O	O
to	O	O
the	O	O
ship	O	O
.	O	O
There	O	O
is	O	O
nothing	O	O
surprising	O	O
in	O	O
this	O	O
.	O	O
If	O	O
they	B-PERX	O
but	O	O
knew	O	O
it	O	O
,	O	O
almost	O	O
all	B-PERX	O
men	I-PERX	O
in	I-PERX	O
their	I-PERX	O
degree	I-PERX	O
,	O	O
some	O	O
time	O	O
or	O	O
other	O	O
,	O	O
cherish	O	O
very	O	O
nearly	O	O
the	O	O
same	O	O
feelings	O	O
towards	O	O
the	O	O
ocean	O	O
with	O	O
me	B-PERX	O
.	O	O
There	O	O
now	O	O
is	O	O
your	B-PERX	O
insular	O	O
city	O	O
of	O	O
the	B-PERX	O
Manhattoes	I-PERX	O
,	O	O
belted	O	O
round	O	O
by	O	O
wharves	O	O
as	O	O
Indian	O	O
isles	O	O
by	O	O
coral	O	O
reefs	O	O
--	O	O
commerce	O	O
surrounds	O	O
it	O	O
with	O	O
her	O	O
surf	O	O
.	O	O
Right	O	O
and	O	O
left	O	O
,	O	O
the	O	O
streets	O	O
take	O	O
you	B-PERX	O
waterward	O	O
.	O	O
Its	O	O
extreme	O	O
downtown	O	O
is	O	O
the	O	O
battery	O	O
,	O	O
where	O	O
that	O	O
noble	O	O
mole	O	O
is	O	O
washed	O	O
by	O	O
waves	O	O
,	O	O
and	O	O
cooled	O	O
by	O	O
breezes	O	O
,	O	O
which	O	O
a	O	O
few	O	O
hours	O	O
previous	O	O
were	O	O
out	O	O
of	O	O
sight	O	O
of	O	O
land	O	O
.	O	O
Look	O	O
at	O	O
the	O	O
crowds	B-PERX	O
of	I-PERX	O
water	I-PERX	O
-	I-PERX	O
gazers	I-PERX	O
there	O	O
.	O	O
Circumambulate	O	O
the	O	O
city	O	O
of	O	O
a	O	O
dreamy	O	O
Sabbath	O	O
afternoon	O	O
.	O	O
Go	O	O
from	O	O
Corlears	O	O
Hook	O	O
to	O	O
Coenties	O	O
Slip	O	O
,	O	O
and	O	O
from	O	O
thence	O	O
,	O	O
by	O	O
Whitehall	O	O
,	O	O
northward	O	O
.	O	O
What	O	O
do	O	O
you	B-PERX	O
see	O	O
?	O	O
--	O	O
Posted	O	O
like	O	O
silent	B-PERX	O
sentinels	I-PERX	O
all	O	O
around	O	O
the	O	O
town	O	O
,	O	O
stand	O	O
thousands	B-PERX	O
upon	I-PERX	O
thousands	I-PERX	O
of	I-PERX	O
mortal	I-PERX	O
men	I-PERX	O
fixed	I-PERX	O
in	I-PERX	O
