original_word	ner	m_ner
For	O	O
a	O	O
long	O	O
time	O	O
after	O	O
it	O	O
was	O	O
ushered	O	O
into	O	O
this	O	O
world	O	O
of	O	O
sorrow	O	O
and	O	O
trouble	O	O
,	O	O
by	O	O
the	B-PERX	O
parish	I-PERX	O
surgeon	I-PERX	O
,	O	O
it	O	O
remained	O	O
a	O	O
matter	O	O
of	O	O
considerable	O	O
doubt	O	O
whether	O	O
the	B-PERX	O
child	I-PERX	O
would	O	O
survive	O	O
to	O	O
bear	O	O
any	O	O
name	O	O
at	O	O
all	O	O
;	O	O
in	O	O
which	O	O
case	O	O
it	O	O
is	O	O
somewhat	O	O
more	O	O
than	O	O
probable	O	O
that	O	O
these	O	O
memoirs	O	O
would	O	O
never	O	O
have	O	O
appeared	O	O
;	O	O
or	O	O
,	O	O
if	O	O
they	O	O
had	O	O
,	O	O
that	O	O
being	O	O
comprised	O	O
within	O	O
a	O	O
couple	O	O
of	O	O
pages	O	O
,	O	O
they	O	O
would	O	O
have	O	O
possessed	O	O
the	O	O
inestimable	O	O
merit	O	O
of	O	O
being	O	O
the	O	O
most	O	O
concise	O	O
and	O	O
faithful	O	O
specimen	O	O
of	O	O
biography	O	O
,	O	O
extant	O	O
in	O	O
the	O	O
literature	O	O
of	O	O
any	O	O
age	O	O
or	O	O
country	O	O
.	O	O
Although	O	O
I	B-PERX	O
am	O	O
not	O	O
disposed	O	O
to	O	O
maintain	O	O
that	O	O
the	O	O
being	O	O
born	O	O
in	O	O
a	O	O
workhouse	O	O
,	O	O
is	O	O
in	O	O
itself	O	O
the	O	O
most	O	O
fortunate	O	O
and	O	O
enviable	O	O
circumstance	O	O
that	O	O
can	O	O
possibly	O	O
befall	O	O
a	O	O
human	O	O
being	O	O
,	O	O
I	B-PERX	O
do	O	O
mean	O	O
to	O	O
say	O	O
that	O	O
in	O	O
this	O	O
particular	O	O
instance	O	O
,	O	O
it	O	O
was	O	O
the	O	O
best	O	O
thing	O	O
for	O	O
Oliver	B-PERSON	O
Twist	I-PERSON	O
that	O	O
could	O	O
by	O	O
possibility	O	O
have	O	O
occurred	O	O
.	O	O
The	O	O
fact	O	O
is	O	O
,	O	O
that	O	O
there	O	O
was	O	O
considerable	O	O
difficulty	O	O
in	O	O
inducing	O	O
Oliver	B-PERSON	O
to	O	O
take	O	O
upon	O	O
himself	B-PERX	O
the	O	O
office	O	O
of	O	O
respiration	O	O
,	O	O
--	O	O
a	O	O
troublesome	O	O
practice	O	O
,	O	O
but	O	O
one	O	O
which	O	O
custom	O	O
has	O	O
rendered	O	O
necessary	O	O
to	O	O
our	B-PERX	O
easy	O	O
existence	O	O
;	O	O
and	O	O
for	O	O
some	O	O
time	O	O
he	B-PERX	O
lay	O	O
gasping	O	O
on	O	O
a	O	O
little	O	O
flock	O	O
mattress	O	O
,	O	O
rather	O	O
unequally	O	O
poised	O	O
between	O	O
this	O	O
world	O	O
and	O	O
the	O	O
next	O	O
:	O	O
the	O	O
balance	O	O
being	O	O
decidedly	O	O
in	O	O
favour	O	O
of	O	O
the	O	O
latter	O	O
.	O	O
Now	O	O
,	O	O
if	O	O
,	O	O
during	O	O
this	O	O
brief	O	O
period	O	O
,	O	O
Oliver	B-PERSON	O
had	O	O
been	O	O
surrounded	O	O
by	O	O
careful	B-PERX	O
grandmothers	I-PERX	O
,	O	O
anxious	B-PERX	O
aunts	I-PERX	O
,	O	O
experienced	B-PERX	O
nurses	I-PERX	O
,	O	O
and	O	O
doctors	B-PERX	O
of	I-PERX	O
profound	I-PERX	O
wisdom	I-PERX	O
,	O	O
he	B-PERX	O
would	O	O
most	O	O
inevitably	O	O
and	O	O
indubitably	O	O
have	O	O
been	O	O
killed	O	O
in	O	O
no	O	O
time	O	O
.	O	O
There	O	O
being	O	O
nobody	B-PERX	O
by	O	O
,	O	O
however	O	O
,	O	O
but	O	O
a	B-PERX	O
pauper	I-PERX	O
old	I-PERX	O
woman	I-PERX	O
,	O	O
who	O	O
was	O	O
rendered	O	O
rather	O	O
misty	O	O
by	O	O
an	O	O
unwonted	O	O
allowance	O	O
of	O	O
beer	O	O
;	O	O
and	O	O
a	B-PERX	O
parish	I-PERX	O
surgeon	I-PERX	O
who	O	O
did	O	O
such	O	O
matters	O	O
by	O	O
contract	O	O
;	O	O
Oliver	B-PERSON	O
and	O	O
Nature	O	O
fought	O	O
out	O	O
the	O	O
point	O	O
between	O	O
them	I-PERX	O
.	O	O
The	O	O
result	O	O
was	O	O
,	O	O
that	O	O
,	O	O
after	O	O
a	O	O
few	O	O
struggles	O	O
,	O	O
Oliver	B-PERSON	O
breathed	O	O
,	O	O
sneezed	O	O
,	O	O
and	O	O
proceeded	O	O
to	O	O
advertise	O	O
to	O	O
the	O	O
inmates	B-PERX	O
of	I-PERX	O
the	I-PERX	O
workhouse	I-PERX	O
the	O	O
fact	O	O
of	O	O
a	O	O
new	O	O
burden	O	O
having	O	O
been	O	O
imposed	O	O
upon	O	O
the	O	O
parish	O	O
,	O	O
by	O	O
setting	O	O
up	O	O
as	O	O
loud	O	O
a	O	O
cry	O	O
as	O	O
could	O	O
reasonably	O	O
have	O	O
been	O	O
expected	O	O
from	O	O
a	B-PERX	O
male	I-PERX	O
infant	I-PERX	O
who	O	O
had	O	O
not	O	O
been	O	O
possessed	O	O
of	O	O
that	O	O
very	O	O
useful	O	O
appendage	O	O
,	O	O
a	O	O
voice	O	O
,	O	O
for	O	O
a	O	O
much	O	O
longer	O	O
space	O	O
of	O	O
time	O	O
than	O	O
three	O	O
minutes	O	O
and	O	O
a	O	O
quarter	O	O
.	O	O
As	O	O
Oliver	B-PERSON	O
gave	O	O
this	O	O
first	O	O
proof	O	O
of	O	O
the	O	O
free	O	O
and	O	O
proper	O	O
action	O	O
of	O	O
his	B-PERX	O
lungs	O	O
,	O	O
the	O	O
patchwork	O	O
coverlet	O	O
which	O	O
was	O	O
carelessly	O	O
flung	O	O
over	O	O
the	O	O
iron	O	O
bedstead	O	O
,	O	O
rustled	O	O
;	O	O
the	O	O
pale	O	O
face	O	O
of	O	O
a	B-PERX	O
young	I-PERX	O
woman	I-PERX	O
was	O	O
raised	O	O
feebly	O	O
from	O	O
the	O	O
pillow	O	O
;	O	O
and	O	O
a	O	O
faint	O	O
voice	O	O
imperfectly	O	O
articulated	O	O
the	O	O
words	O	O
,	O	O
'	O	O
Let	O	O
me	B-PERX	O
see	O	O
the	B-PERX	O
child	I-PERX	O
,	O	O
and	O	O
die	O	O
.	O	O
'	O	O
The	B-PERX	O
surgeon	I-PERX	O
had	O	O
been	O	O
sitting	O	O
with	O	O
his	B-PERX	O
face	O	O
turned	O	O
towards	O	O
the	O	O
fire	O	O
:	O	O
giving	O	O
the	O	O
palms	O	O
of	O	O
his	B-PERX	O
hands	O	O
a	O	O
warm	O	O
and	O	O
a	O	O
rub	O	O
alternately	O	O
.	O	O
As	O	O
the	O	O
young	B-PERX	O
woman	I-PERX	O
spoke	O	O
,	O	O
he	B-PERX	O
rose	O	O
,	O	O
and	O	O
advancing	O	O
to	O	O
the	O	O
bed	O	O
's	O	O
head	O	O
,	O	O
said	O	O
,	O	O
with	O	O
more	O	O
kindness	O	O
than	O	O
might	O	O
have	O	O
been	O	O
expected	O	O
of	O	O
him	B-PERX	O
:	O	O
'	O	O
Oh	O	O
,	O	O
you	B-PERX	O
must	O	O
not	O	O
talk	O	O
about	O	O
dying	O	O
yet	O	O
.	O	O
'	O	O
'	O	O
Lor	B-PERSON	O
bless	O	O
her	B-PERX	O
dear	O	O
heart	O	O
,	O	O
no	O	O
!	O	O
'	O	O
interposed	O	O
the	B-PERX	O
nurse	I-PERX	O
,	O	O
hastily	O	O
depositing	O	O
in	O	O
her	O	O
pocket	O	O
a	O	O
green	O	O
glass	O	O
bottle	O	O
,	O	O
the	O	O
contents	O	O
of	O	O
which	O	O
she	B-PERX	O
had	O	O
been	O	O
tasting	O	O
in	O	O
a	O	O
corner	O	O
with	O	O
evident	O	O
satisfaction	O	O
.	O	O
'	O	O
Lor	B-PERSON	O
bless	O	O
her	B-PERX	O
dear	O	O
heart	O	O
,	O	O
when	O	O
she	B-PERX	O
has	O	O
lived	O	O
as	O	O
long	O	O
as	O	O
I	B-PERX	O
have	O	O
,	O	O
sir	B-PERX	O
,	O	O
and	O	O
had	O	O
thirteen	B-PERX	O
children	I-PERX	O
of	O	O
her	B-PERX	O
own	O	O
,	O	O
and	O	O
all	O	O
on	O	O
'em	B-PERX	O
dead	O	O
except	O	O
two	O	O
,	O	O
and	O	O
them	B-PERX	O
in	O	O
the	O	O
wurkus	O	O
with	O	O
me	B-PERX	O
,	O	O
she	B-PERX	O
'll	O	O
know	O	O
better	O	O
than	O	O
to	O	O
take	O	O
on	O	O
in	O	O
that	O	O
way	O	O
,	O	O
bless	O	O
her	B-PERX	O
dear	O	O
heart	O	O
!	O	O
Think	O	O
what	O	O
it	O	O
is	O	O
to	O	O
be	O	O
a	B-PERX	O
mother	I-PERX	O
,	O	O
there	O	O
's	O	O
a	O	O
dear	O	O
young	O	O
lamb	O	O
do	O	O
.	O	O
'	O	O
Apparently	O	O
this	O	O
consolatory	O	O
perspective	O	O
of	O	O
a	B-PERX	O
mother	I-PERX	O
's	O	O
prospects	O	O
failed	O	O
in	O	O
producing	O	O
its	O	O
due	O	O
effect	O	O
.	O	O
The	B-PERX	O
patient	I-PERX	O
shook	O	O
her	B-PERX	O
head	O	O
,	O	O
and	O	O
stretched	O	O
out	O	O
her	B-PERX	O
hand	O	O
towards	O	O
the	B-PERX	O
child	I-PERX	O
.	O	O
The	B-PERX	O
surgeon	I-PERX	O
deposited	O	O
it	O	O
in	O	O
her	B-PERX	O
arms	O	O
.	O	O
She	B-PERX	O
imprinted	O	O
her	B-PERX	O
cold	O	O
white	O	O
lips	O	O
passionately	O	O
on	O	O
its	B-PERX	O
forehead	O	O
;	O	O
passed	O	O
her	B-PERX	O
hands	O	O
over	O	O
her	B-PERX	O
face	O	O
;	O	O
gazed	O	O
wildly	O	O
round	O	O
;	O	O
shuddered	O	O
;	O	O
fell	O	O
back	O	O
--	O	O
and	O	O
died	O	O
.	O	O
They	B-PERX	O
chafed	O	O
her	B-PERX	O
breast	O	O
,	O	O
hands	O	O
,	O	O
and	O	O
temples	O	O
;	O	O
but	O	O
the	O	O
blood	O	O
had	O	O
stopped	O	O
forever	O	O
.	O	O
They	B-PERX	O
talked	O	O
of	O	O
hope	O	O
and	O	O
comfort	O	O
.	O	O
They	B-PERX	O
had	O	O
been	O	O
strangers	B-PERX	O
too	O	O
long	O	O
.	O	O
'	O	O
