original_word	ner	m_ner
Buck	B-PERSON	O
did	O	O
not	O	O
read	O	O
the	O	O
newspapers	O	O
,	O	O
or	O	O
he	B-PERX	O
would	O	O
have	O	O
known	O	O
that	O	O
trouble	O	O
was	O	O
brewing	O	O
,	O	O
not	O	O
alone	O	O
for	O	O
himself	B-PERX	O
,	O	O
but	O	O
for	O	O
every	O	O
tide	O	O
-	O	O
water	O	O
dog	O	O
,	O	O
strong	O	O
of	O	O
muscle	O	O
and	O	O
with	O	O
warm	O	O
,	O	O
long	O	O
hair	O	O
,	O	O
from	O	O
Puget	O	O
Sound	O	O
to	O	O
San	O	O
Diego	O	O
.	O	O
Because	O	O
men	B-PERX	O
,	B-PERX	O
groping	I-PERX	O
in	I-PERX	O
the	I-PERX	O
Arctic	I-PERX	O
darkness	I-PERX	O
,	O	O
had	O	O
found	O	O
a	O	O
yellow	O	O
metal	O	O
,	O	O
and	O	O
because	O	O
steamship	O	O
and	O	O
transportation	O	O
companies	O	O
were	O	O
booming	O	O
the	O	O
find	O	O
,	O	O
thousands	B-PERX	O
of	I-PERX	O
men	I-PERX	O
were	O	O
rushing	O	O
into	O	O
the	O	O
Northland	O	O
.	O	O
These	B-PERX	O
men	I-PERX	O
wanted	O	O
dogs	O	O
,	O	O
and	O	O
the	O	O
dogs	O	O
they	O	O
wanted	O	O
were	O	O
heavy	O	O
dogs	O	O
,	O	O
with	O	O
strong	O	O
muscles	O	O
by	O	O
which	O	O
to	O	O
toil	O	O
,	O	O
and	O	O
furry	O	O
coats	O	O
to	O	O
protect	O	O
them	O	O
from	O	O
the	O	O
frost	O	O
.	O	O
Buck	B-PERSON	O
lived	O	O
at	O	O
a	O	O
big	O	O
house	O	O
in	O	O
the	O	O
sun	O	O
-	O	O
kissed	O	O
Santa	O	O
Clara	O	O
Valley	O	O
.	O	O
Judge	B-PERSON	O
Miller	I-PERSON	O
's	O	O
place	O	O
,	O	O
it	O	O
was	O	O
called	O	O
.	O	O
It	O	O
stood	O	O
back	O	O
from	O	O
the	O	O
road	O	O
,	O	O
half	O	O
hidden	O	O
among	O	O
the	O	O
