original_word	ner	m_ner
A	O	O
yellow	O	O
dressinggown	O	O
,	O	O
ungirdled	O	O
,	O	O
was	O	O
sustained	O	O
gently	O	O
behind	O	O
him	B-PERX	O
on	O	O
the	O	O
mild	O	O
morning	O	O
air	O	O
.	O	O
He	B-PERX	O
held	O	O
the	O	O
bowl	O	O
aloft	O	O
and	O	O
intoned	O	O
:	O	O
—	O	O
Introibo	O	O
ad	O	O
altare	O	O
Dei	O	O
.	O	O
Halted	O	O
,	O	O
he	B-PERX	O
peered	O	O
down	O	O
the	O	O
dark	O	O
winding	O	O
stairs	O	O
and	O	O
called	O	O
out	O	O
coarsely	O	O
:	O	O
—	O	O
Come	O	O
up	O	O
,	O	O
Kinch	B-PERSON	O
!	O	O
Come	O	O
up	O	O
,	O	O
you	B-PERX	O
fearful	I-PERX	O
jesuit	I-PERX	O
!	O	O
Solemnly	O	O
he	B-PERX	O
came	O	O
forward	O	O
and	O	O
mounted	O	O
the	O	O
round	O	O
gunrest	O	O
.	O	O
He	B-PERX	O
faced	O	O
about	O	O
and	O	O
blessed	O	O
gravely	O	O
thrice	O	O
the	O	O
tower	O	O
,	O	O
the	O	O
surrounding	O	O
land	O	O
and	O	O
the	O	O
awaking	O	O
mountains	O	O
.	O	O
Then	O	O
,	O	O
catching	O	O
sight	O	O
of	O	O
Stephen	B-PERSON	O
Dedalus	I-PERSON	O
,	O	O
he	B-PERX	O
bent	O	O
towards	O	O
him	B-PERX	O
and	O	O
made	O	O
rapid	O	O
crosses	O	O
in	O	O
the	O	O
air	O	O
,	O	O
gurgling	O	O
in	O	O
his	O	O
throat	O	O
and	O	O
shaking	O	O
his	O	O
head	O	O
.	O	O
Stephen	B-PERSON	O
Dedalus	I-PERSON	O
,	O	O
displeased	O	O
and	O	O
sleepy	O	O
,	O	O
leaned	O	O
his	O	O
arms	O	O
on	O	O
the	O	O
top	O	O
of	O	O
the	O	O
staircase	O	O
and	O	O
looked	O	O
coldly	O	O
at	O	O
the	B-PERX	O
shaking	I-PERX	O
gurgling	I-PERX	O
face	I-PERX	O
that	O	O
blessed	O	O
him	B-PERX	O
,	O	O
equine	O	O
in	O	O
its	O	O
length	O	O
,	O	O
and	O	O
at	O	O
the	O	O
light	O	O
untonsured	O	O
hair	O	O
,	O	O
grained	O	O
and	O	O
hued	O	O
like	O	O
pale	O	O
oak	O	O
.	O	O
Buck	B-PERSON	O
Mulligan	I-PERSON	O
peeped	O	O
an	O	O
instant	O	O
under	O	O
the	O	O
mirror	O	O
and	O	O
then	O	O
covered	O	O
the	O	O
bowl	O	O
smartly	O	O
.	O	O
—	O	O
Back	O	O
to	O	O
barracks	O	O
!	O	O
he	B-PERX	O
said	O	O
sternly	O	O
.	O	O
He	B-PERX	O
added	O	O
in	O	O
a	B-PERX	O
preacher	I-PERX	O
’s	O	O
tone	O	O
:	O	O
—	O	O
For	O	O
this	O	O
,	O	O
O	B-PERX	O
dearly	I-PERX	O
beloved	I-PERX	O
,	O	O
is	O	O
the	B-PERX	O
genuine	I-PERX	O
Christine	I-PERX	B-PERSON
:	O	O
body	O	O
and	O	O
soul	O	O
and	O	O
blood	O	O
and	O	O
ouns	O	O
.	O	O
Slow	O	O
music	O	O
,	O	O
please	O	O
.	O	O
Shut	O	O
your	B-PERX	O
eyes	O	O
,	O	O
gents	B-PERX	O
.	O	O
One	O	O
moment	O	O
.	O	O
A	O	O
little	O	O
trouble	O	O
about	O	O
those	O	O
white	O	O
corpuscles	O	O
.	O	O
Silence	O	O
,	O	O
all	B-PERX	O
.	O	O
He	B-PERX	O
peered	O	O
sideways	O	O
up	O	O
and	O	O
gave	O	O
a	O	O
long	O	O
slow	O	O
whistle	O	O
of	O	O
call	O	O
,	O	O
then	O	O
paused	O	O
awhile	O	O
in	O	O
rapt	O	O
attention	O	O
,	O	O
his	O	O
even	O	O
white	O	O
teeth	O	O
glistening	O	O
here	O	O
and	O	O
there	O	O
with	O	O
gold	O	O
points	O	O
.	O	O
Chrysostomos	B-PERSON	O
.	O	O
Two	O	O
strong	O	O
shrill	O	O
whistles	O	O
answered	O	O
through	O	O
the	O	O
calm	O	O
.	O	O
—	O	O
Thanks	O	O
,	O	O
old	B-PERX	O
chap	I-PERX	O
,	O	O
he	B-PERX	O
cried	O	O
briskly	O	O
.	O	O
That	O	O
will	O	O
do	O	O
nicely	O	O
.	O	O
Switch	O	O
off	O	O
the	O	O
current	O	O
,	O	O
will	O	O
you	B-PERX	O
?	O	O
He	B-PERX	O
skipped	O	O
off	O	O
the	O	O
gunrest	O	O
and	O	O
looked	O	O
gravely	O	O
at	O	O
his	O	O
watcher	O	O
,	O	O
gathering	O	O
about	O	O
his	O	O
legs	O	O
the	O	O
loose	O	O
folds	O	O
of	O	O
his	O	O
gown	O	O
.	O	O
The	O	O
plump	O	O
shadowed	O	O
face	O	O
and	O	O
sullen	O	O
oval	O	O
jowl	O	O
recalled	O	O
a	B-PERX	O
prelate	I-PERX	O
,	I-PERX	O
patron	I-PERX	O
of	I-PERX	O
arts	I-PERX	O
in	I-PERX	O
the	I-PERX	O
middle	I-PERX	O
ages	I-PERX	O
.	O	O
A	O	O
pleasant	O	O
smile	O	O
broke	O	O
quietly	O	O
over	O	O
his	O	O
lips	O	O
.	O	O
—	O	O
The	O	O
mockery	O	O
of	O	O
it	O	O
!	O	O
he	B-PERX	O
said	O	O
gaily	O	O
.	O	O
Your	O	O
absurd	O	O
name	O	O
,	O	O
an	B-PERX	O
ancient	I-PERX	O
Greek	I-PERX	O
!	O	O
He	B-PERX	O
pointed	O	O
his	O	O
finger	O	O
in	O	O
friendly	O	O
jest	O	O
and	O	O
went	O	O
over	O	O
to	O	O
the	O	O
parapet	O	O
,	O	O
laughing	O	O
to	O	O
himself	B-PERX	O
.	O	O
Stephen	B-PERSON	O
Dedalus	I-PERSON	O
stepped	O	O
up	O	O
,	O	O
followed	O	O
him	B-PERX	O
wearily	O	O
halfway	O	O
and	O	O
sat	O	O
down	O	O
on	O	O
the	O	O
edge	O	O
of	O	O
the	O	O
gunrest	O	O
,	O	O
watching	O	O
him	B-PERX	O
still	O	O
as	O	O
he	B-PERX	O
propped	O	O
his	O	O
mirror	O	O
on	O	O
the	O	O
parapet	O	O
,	O	O
dipped	O	O
the	O	O
brush	O	O
in	O	O
the	O	O
bowl	O	O
and	O	O
lathered	O	O
cheeks	O	O
and	O	O
neck	O	O
.	O	O
Buck	B-PERSON	O
Mulligan	I-PERSON	O
’s	O	O
gay	O	O
voice	O	O
went	O	O
on	O	O
.	O	O
—	O	O
My	O	O
name	O	O
is	O	O
absurd	O	O
too	O	O
:	O	O
Malachi	B-PERSON	O
Mulligan	I-PERSON	O
,	O	O
two	O	O
dactyls	O	O
.	O	O
But	O	O
it	O	O
has	O	O
a	O	O
Hellenic	O	O
ring	O	O
,	O	O
has	O	O
n’t	O	O
it	O	O
?	O	O
Tripping	O	O
and	O	O
sunny	O	O
like	O	O
the	B-PERX	O
buck	I-PERX	O
himself	I-PERX	O
.	O	O
We	B-PERX	O
must	O	O
go	O	O
to	O	O
Athens	O	O
.	O	O
Will	O	O
you	B-PERX	O
come	O	O
if	O	O
I	B-PERX	O
can	O	O
get	O	O
the	B-PERX	O
aunt	I-PERX	O
to	O	O
fork	O	O
out	O	O
twenty	O	O
quid	O	O
?	O	O
He	B-PERX	O
laid	O	O
the	O	O
brush	O	O
aside	O	O
and	O	O
,	O	O
laughing	O	O
with	O	O
delight	O	O
,	O	O
cried	O	O
:	O	O
—	O	O
Will	O	O
he	B-PERX	O
come	O	O
?	O	O
The	O	O
jejune	O	O
jesuit	O	O
!	O	O
Ceasing	O	O
,	O	O
he	B-PERX	O
began	O	O
to	O	O
shave	O	O
with	O	O
care	O	O
.	O	O
—	O	O
Tell	O	O
me	B-PERX	O
,	O	O
Mulligan	B-PERSON	O
,	O	O
Stephen	B-PERSON	O
said	O	O
quietly	O	O
.	O	O
—	O	O
Yes	O	O
,	O	O
my	B-PERX	O
love	I-PERX	O
?	O	O
—	O	O
How	O	O
long	O	O
is	O	O
Haines	B-PERSON	O
going	O	O
to	O	O
stay	O	O
in	O	O
this	O	O
tower	O	O
?	O	O
Buck	B-PERSON	O
Mulligan	I-PERSON	O
showed	O	O
a	O	O
shaven	O	O
cheek	O	O
over	O	O
his	O	O
right	O	O
shoulder	O	O
.	O	O
—	O	O
God	O	O
,	O	O
is	O	O
n’t	O	O
he	B-PERX	O
dreadful	O	O
?	O	O
he	B-PERX	O
said	O	O
frankly	O	O
.	O	O
A	B-PERX	O
ponderous	I-PERX	O
Saxon	I-PERX	O
.	O	O
He	B-PERX	O
thinks	O	O
you	B-PERX	O
’re	O	O
not	O	O
a	B-PERX	O
gentleman	I-PERX	O
.	O	O
God	O	O
,	O	O
these	B-PERX	O
bloody	I-PERX	O
English	I-PERX	O
!	O	O
Bursting	O	O
with	O	O
money	O	O
and	O	O
indigestion	O	O
.	O	O
Because	O	O
he	B-PERX	O
comes	O	O
from	O	O
Oxford	O	O
.	O	O
You	B-PERX	O
know	O	O
,	O	O
Dedalus	B-PERSON	O
,	O	O
you	O	O
have	O	O
the	O	O
real	O	O
Oxford	O	O
manner	O	O
.	O	O
He	B-PERX	O
ca	O	O
n’t	O	O
make	O	O
you	B-PERX	O
out	O	O
.	O	O
O	O	O
,	O	O
my	O	O
name	O	O
for	O	O
you	B-PERX	O
is	O	O
the	O	O
best	O	O
:	O	O
Kinch	B-PERSON	O
,	I-PERSON	O
the	I-PERSON	O
knife	I-PERSON	O
-	I-PERSON	O
blade	I-PERSON	O
.	O	O
He	B-PERX	O
shaved	O	O
warily	O	O
over	O	O
his	O	O
chin	O	O
.	O	O
—	O	O
He	B-PERX	O
was	O	O
raving	O	O
all	O	O
night	O	O
about	O	O
a	B-PERX	O
black	I-PERX	O
panther	I-PERX	O
,	O	O
Stephen	B-PERSON	O
said	O	O
.	O	O
Where	O	O
is	O	O
his	O	O
guncase	O	O
?	O	O
—	O	O
