YOU B-PER O
do O O
n't O O
know O O
about O O
me B-PER O
without O O
you B-PER O
have O O
read O O
a O O
book O O
by O O
the O O
name O O
of O O
The O O
Adventures O O
of O O
Tom O I-PER
Sawyer O I-PER
; O O
but O O
that O O
ai O O
n't O O
no O O
matter O O
. O O
That O O
book O O
was O O
made O O
by O O
Mr. O I-PER
Mark B-PER I-PER
Twain I-PER I-PER
, O O
and O O
he B-PER O
told O O
the O O
truth O O
, O O
mainly O O
. O O
There O O
was O O
things O O
which O O
he B-PER O
stretched O O
, O O
but O O
mainly O O
he B-PER O
told O O
the O O
truth O O
. O O
That O O
is O O
nothing O O
. O O
I B-PER O
never O O
seen O O
anybody B-PER O
but O O
lied O O
one O O
time O O
or O O
another O O
, O O
without O O
it O O
was O O
Aunt B-PER O
Polly I-PER O
, O O
or O O
the B-PER O
widow I-PER O
, O O
or O O
maybe O O
Mary B-PER I-PER
. O O
Aunt B-PER O
Polly I-PER O
-- O O
Tom B-PER O
's O O
Aunt B-PER O
Polly I-PER I-PER
, O O
she B-PER O
is O O
-- O O
and O O
Mary B-PER I-PER
, O O
and O O
the O O
Widow B-PER I-PER
Douglas I-PER I-PER
is O O
all O O
told O O
about O O
in O O
that O O
book O O
, O O
which O O
is O O
mostly O O
a O O
true O O
book O O
, O O
with O O
some O O
stretchers O O
, O O
as O O
I B-PER O
said O O
before O O
. O O
Now O O
the O O
way O O
that O O
the O O
book O O
winds O O
up O O
is O O
this O O
: O O
Tom B-PER I-PER
and O O
me B-PER O
found O O
the O O
money O O
that O O
the B-PER O
robbers I-PER O
hid O O
in O O
the O O
cave O O
, O O
and O O
it O O
made O O
us B-PER O
rich O O
. O O
We B-PER O
got O O
six O O
thousand O O
dollars O O
apiece O O
-- O O
all O O
gold O O
. O O
It O O
was O O
an O O
awful O O
sight O O
of O O
money O O
when O O
it O O
was O O
piled O O
up O O
. O O
Well O O
, O O
Judge B-PER O
Thatcher I-PER I-PER
he B-PER O
took O O
it O O
and O O
put O O
it O O
out O O
at O O
interest O O
, O O
and O O
it O O
fetched O O
us B-PER O
a O O
dollar O O
a O O
day O O
apiece O O
all O O
the O O
year O O
round O O
-- O O
more O O
than O O
a B-PER O
body I-PER O
could O O
tell O O
what O O
to O O
do O O
with O O
. O O
The O O
Widow B-PER O
