However O O
little O O
known O O
the O O
feelings O O
or O O
views O O
of O O
such B-PER O
a I-PER O
man I-PER O
may O O
be O O
on O O
his B-PER O
first O O
entering O O
a O O
neighbourhood O O
, O O
this O O
truth O O
is O O
so O O
well O O
fixed O O
in O O
the O O
minds O O
of O O
the B-PER O
surrounding I-PER O
families I-PER O
, O O
that O O
he B-PER O
is O O
considered O O
the O O
rightful O O
property O O
of O O
some B-PER O
one I-PER O
or O O
other O O
of O O
their B-PER O
daughters I-PER O
. O O
“ O O
My B-PER O
dear I-PER O
Mr. O I-PER
Bennet B-PER I-PER
, O O
” O O
said O O
his B-PER O
lady I-PER O
to O O
him B-PER O
one O O
day O O
, O O
“ O O
have O O
you B-PER O
heard O O
that O O
Netherfield O O
Park O O
is O O
let O O
at O O
last O O
? O O
” O O
Mr. O I-PER
Bennet B-PER I-PER
replied O O
that O O
he B-PER O
had O O
not O O
. O O
“ O O
But O O
it O O
is O O
, O O
” O O
returned O O
she B-PER O
; O O
“ O O
for O O
Mrs. O I-PER
Long B-PER I-PER
has O O
just O O
been O O
here O O
, O O
and O O
she B-PER O
told O O
me B-PER O
all O O
about O O
it O O
. O O
” O O
Mr. O I-PER
Bennet B-PER I-PER
made O O
no O O
answer O O
. O O
“ O O
Do O O
you B-PER O
not O O
want O O
to O O
know O O
who O O
has O O
taken O O
it O O
? O O
” O O
cried O O
his B-PER O
wife I-PER O
impatiently O O
. O O
“ O O
_ O O
You B-PER O
_ O O
want O O
to O O
tell O O
me B-PER O
, O O
and O O
I B-PER O
have O O
no O O
objection O O
to O O
hearing O O
it O O
. O O
” O O
This O O
was O O
invitation O O
enough O O
. O O
“ O O
Why O O
, O O
my B-PER O
dear I-PER O
, O O
you B-PER O
must O O
know O O
, O O
Mrs. O I-PER
Long B-PER I-PER
says O O
that O O
Netherfield O O
is O O
taken O O
by O O
a B-PER O
young I-PER O
man I-PER O
of I-PER O
large I-PER O
fortune I-PER O
from I-PER O
the I-PER O
north I-PER O
of I-PER O
England I-PER O
; O O
that O O
he B-PER O
came O O
down O O
on O O
Monday O O
in O O
a O O
chaise O O
and O O
four O O
to O O
see O O
the O O
place O O
, O O
and O O
was O O
so O O
much O O
delighted O O
with O O
it O O
, O O
that O O
he B-PER O
agreed O O
with O O
Mr. O I-PER
