Buck B-PER O
did O O
not O O
read O O
the O O
newspapers O O
, O O
or O O
he B-PER O
would O O
have O O
known O O
that O O
trouble O O
was O O
brewing O O
, O O
not O O
alone O O
for O O
himself B-PER O
, O O
but O O
for O O
every O O
tide O O
- O O
water O O
dog O O
, O O
strong O O
of O O
muscle O O
and O O
with O O
warm O O
, O O
long O O
hair O O
, O O
from O O
Puget O O
Sound O O
to O O
San O O
Diego O O
. O O
Because O O
men B-PER O
, B-PER O
groping I-PER O
in I-PER O
the I-PER O
Arctic I-PER O
darkness I-PER O
, O O
had O O
found O O
a O O
yellow O O
metal O O
, O O
and O O
because O O
steamship O O
and O O
transportation O O
companies O O
were O O
booming O O
the O O
find O O
, O O
thousands B-PER O
of I-PER O
men I-PER O
were O O
rushing O O
into O O
the O O
Northland O O
. O O
These B-PER O
men I-PER O
wanted O O
dogs O O
, O O
and O O
the O O
dogs O O
they O O
wanted O O
were O O
heavy O O
dogs O O
, O O
with O O
strong O O
muscles O O
by O O
which O O
to O O
toil O O
, O O
and O O
furry O O
coats O O
to O O
protect O O
them O O
from O O
the O O
frost O O
. O O
Buck B-PER O
lived O O
at O O
a O O
big O O
house O O
in O O
the O O
sun O O
- O O
kissed O O
Santa O O
Clara O O
Valley O O
. O O
Judge B-PER O
Miller I-PER I-PER
's O O
place O O
, O O
it O O
was O O
called O O
. O O
It O O
stood O O
back O O
from O O
the O O
road O O
, O O
half O O
hidden O O
among O O
the O O
trees O O
, O O
through O O
which O O
glimpses O O
could O O
be O O
caught O O
of O O
the O O
wide O O
cool O O
veranda O O
that O O
ran O O
around O O
its O O
four O O
sides O O
. O O
The O O
house O O
was O O
approached O O
by O O
gravelled O O
driveways O O
which O O
wound O O
about O O
through O O
wide O O
- O O
spreading O O
lawns O O
and O O
under O O
the O O
interlacing O O
boughs O O
of O O
tall O O
poplars O O
. O O
At O O
the O O
rear O O
things O O
were O O
on O O
even O O
a O O
more O O
spacious O O
scale O O
than O O
at O O
the O O
front O O
. O O
There O O
were O O
great O O
stables O O
, O O
where O O
a B-PER O
dozen I-PER O
grooms I-PER O
and O O
boys B-PER O
held O O
forth O O
, O O
rows O O
of O O
vine B-PER O
- B-PER O
clad B-PER O
servants I-PER O
' O O
cottages O O
, O O
an O O
endless O O
and O O
orderly O O
array O O
of O O
outhouses O O
, O O
long O O
grape O O
arbors O O
, O O
green O O
pastures O O
, O O
orchards O O
, O O
and O O
berry O O
patches O O
. O O
Then O O
there O O
was O O
the O O
pumping O O
plant O O
for O O
the O O
artesian O O
well O O
, O O
and O O
the O O
big O O
cement O O
tank O O
where O O
Judge B-PER O
Miller I-PER I-PER
's I-PER O
boys I-PER O
took O O
their O O
morning O O
plunge O O
and O O
kept O O
cool O O
in O O
the O O
hot O O
afternoon O O
. O O
And O O
over O O
this O O
great O O
demesne O O
Buck B-PER O
ruled O O
. O O
Here O O
he B-PER O
was O O
born O O
, O O
and O O
here O O
he B-PER O
had O O
lived O O
the O O
four O O
years O O
of O O
his B-PER O
life O O
. O O
It O O
was O O
true O O
, O O
there O O
were O O
other O O
dogs O O
, O O
There O O
could O O
not O O
but O O
be O O
other O O
dogs O O
on O O
so O O
vast O O
a O O
place O O
, O O
but O O
they O O
did O O
not O O
count O O
. O O
They O O
came O O
and O O
went O O
, O O
resided O O
in O O
the O O
populous O O
kennels O O
, O O
or O O
lived O O
obscurely O O
in O O
the O O
recesses O O
of O O
the O O
house O O
after O O
the O O
fashion O O
of O O
Toots B-PER I-PER
, O O
the O O
Japanese O O
pug O O
, O O
or O O
Ysabel B-PER O
, O O
the O O
Mexican O O
hairless O O
, O O
-- O O
strange O O
creatures O O
that O O
rarely O O
put O O
nose O O
out O O
of O O
doors O O
or O O
set O O
foot O O
to O O
ground O O
. O O
On O O
the O O
other O O
hand O O
, O O
there O O
were O O
the O O
fox O O
terriers O O
, O O
a O O
score O O
of O O
them O O
at O O
least O O
, O O
who O O
yelped O O
fearful O O
promises O O
at O O
Toots B-PER O
and O O
Ysabel B-PER I-PER
looking O O
out O O
of O O
the O O
windows O O
at O O
them O O
and O O
protected O O
by O O
a B-PER O
legion I-PER O
of I-PER O
housemaids I-PER O
armed I-PER O
with I-PER O
brooms I-PER O
and I-PER O
mops I-PER O
. O O
But O O
Buck B-PER O
was O O
neither O O
house O O
- O O
dog O O
nor O O
kennel O O
- O O
dog O O
. O O
The O O
whole O O
realm O O
was O O
his B-PER O
. O O
He B-PER O
plunged O O
into O O
the O O
swimming O O
tank O O
or O O
went O O
hunting O O
with O O
the B-PER O
Judge I-PER O
's I-PER O
sons I-PER O
; O O
he B-PER O
escorted O O
Mollie B-PER I-PER
and O O
Alice B-PER I-PER
, O O
the B-PER O
Judge I-PER O
's I-PER O
daughters I-PER O
, O O
on O O
long O O
twilight O O
or O O
early O O
morning O O
rambles O O
; O O
on O O
wintry O O
