A B-PER O
black I-PER O
servant I-PER O
, O O
who O O
reposed O O
on O O
the O O
box O O
beside O O
the B-PER O
fat I-PER O
coachman I-PER O
, O O
uncurled O O
his O O
bandy O O
legs O O
as O O
soon O O
as O O
the O O
equipage O O
drew O O
up O O
opposite O O
Miss B-PER B-PER
Pinkerton I-PER B-PER
's O O
shining O O
brass O O
plate O O
, O O
and O O
as O O
he O O
pulled O O
the O O
bell O O
at O O
least O O
a O O
score O O
of O O
young O O
heads O O
were O O
seen O O
peering O O
out O O
of O O
the O O
narrow O O
windows O O
of O O
the O O
stately O O
old O O
brick O O
house O O
. O O
Nay O O
, O O
the B-PER O
acute I-PER O
observer I-PER O
might O O
have O O
recognized O O
the O O
little O O
red O O
nose O O
of O O
good B-PER O
- I-PER O
natured I-PER O
Miss I-PER O
Jemima I-PER B-PER
Pinkerton I-PER I-PER
herself O O
, O O
rising O O
over O O
some O O
geranium O O
pots O O
in O O
the O O
window O O
of O O
that B-PER O
lady I-PER O
's O O
own O O
drawing O O
- O O
room O O
. O O
" O O
It O O
is O O
Mrs. B-PER O
Sedley I-PER B-PER
's O O
coach O O
, O O
sister B-PER O
, O O
" O O
said O O
Miss B-PER B-PER
Jemima I-PER B-PER
. O O
" O O
Sambo B-PER B-PER
, O O
the B-PER O
black I-PER O
servant I-PER O
, O O
has O O
just O O
rung O O
the O O
bell O O
; O O
and O O
the B-PER O
coachman I-PER O
has O O
a O O
new O O
red O O
waistcoat O O
. O O
" O O
" O O
Have O O
you O O
completed O O
all O O
the O O
necessary O O
preparations O O
incident O O
to O O
Miss B-PER B-PER
Sedley I-PER B-PER
's O O
departure O O
, O O
Miss B-PER B-PER
Jemima I-PER I-PER
? O O
" O O
asked O O
Miss B-PER B-PER
Pinkerton I-PER I-PER
herself O O
, O O
that B-PER O
majestic I-PER O
lady I-PER O
; O O
the B-PER O
Semiramis I-PER B-PER
of I-PER O
Hammersmith I-PER O
, O O
the B-PER O
friend I-PER O
of I-PER O
Doctor I-PER B-PER
Johnson I-PER B-PER
, O O
the B-PER O
correspondent I-PER O
of I-PER O
Mrs. I-PER O
Chapone I-PER B-PER
herself I-PER O
. O O
" O O
The B-PER O
girls I-PER O
were O O
up O O
at O O
four O O
this O O
morning O O
, O O
packing O O
her O O
trunks O O
, O O
sister B-PER O
, O O
" O O
replied O O
Miss B-PER B-PER
Jemima I-PER I-PER
; O O
" O O
we O O
have O O
made O O
her O O
a O O
bow O O
- O O
pot O O
. O O
" O O
" O O
Say O O
a O O
bouquet O O
, O O
sister B-PER O
Jemima I-PER B-PER
, O O
't O O
is O O
more O O
genteel O O
. O O
" O O
" O O
Well O O
, O O
a O O
booky O O
as O O
big O O
almost O O
