_ O O
) O O
_ O O
3 O O
May O O
. O O
Bistritz O O
. O O
_ O O
-- O O
Left O O
Munich O O
at O O
8:35 O O
P. O O
M. O O
, O O
on O O
1st O O
May O O
, O O
arriving O O
at O O
Vienna O O
early O O
next O O
morning O O
; O O
should O O
have O O
arrived O O
at O O
6:46 O O
, O O
but O O
train O O
was O O
an O O
hour O O
late O O
. O O
Buda O O
- O O
Pesth O O
seems O O
a O O
wonderful O O
place O O
, O O
from O O
the O O
glimpse O O
which O O
I B-PER O
got O O
of O O
it O O
from O O
the O O
train O O
and O O
the O O
little O O
I B-PER O
could O O
walk O O
through O O
the O O
streets O O
. O O
I B-PER O
feared O O
to O O
go O O
very O O
far O O
from O O
the O O
station O O
, O O
as O O
we B-PER O
had O O
arrived O O
late O O
and O O
would O O
start O O
as O O
near O O
the O O
correct O O
time O O
as O O
possible O O
. O O
The O O
impression O O
I B-PER O
had O O
was O O
that O O
we B-PER O
were O O
leaving O O
the O O
West O O
and O O
entering O O
the O O
East O O
; O O
the O O
most O O
western O O
of O O
splendid O O
bridges O O
over O O
the O O
Danube O O
, O O
which O O
is O O
here O O
of O O
noble O O
width O O
and O O
depth O O
, O O
took O O
us B-PER O
among O O
the O O
traditions O O
of O O
Turkish O O
rule O O
. O O
We B-PER O
left O O
in O O
pretty O O
good O O
time O O
, O O
and O O
came O O
after O O
nightfall O O
to O O
Klausenburgh O O
. O O
Here O O
I B-PER O
stopped O O
for O O
the O O
night O O
at O O
the O O
Hotel O O
Royale O O
. O O
I B-PER O
had O O
for O O
dinner O O
, O O
or O O
rather O O
supper O O
, O O
a O O
chicken O O
done O O
up O O
some O O
way O O
with O O
red O O
pepper O O
, O O
which O O
was O O
very O O
good O O
but O O
thirsty O O
. O O
( O O
_ O O
Mem O O
. O O
_ O O
, O O
get O O
recipe O O
for O O
Mina B-PER O
. O O
) O O
I B-PER O
asked O O
the B-PER O
waiter I-PER O
, O O
and O O
he B-PER O
said O O
it O O
was O O
called O O
" O O
paprika O O
hendl O O
, O O
" O O
and O O
that O O
, O O
as O O
it O O
was O O
a O O
national O O
dish O O
, O O
I B-PER O
should O O
be O O
able O O
to O O
get O O
it O O
anywhere O O
along O O
the O O
Carpathians O O
. O O
I B-PER O
found O O
my B-PER O
smattering O O
of O O
German O O
very O O
useful O O
here O O
; O O
indeed O O
, O O
I B-PER O
do O O
n't O O
know O O
how O O
I B-PER O
should O O
be O O
able O O
to O O
get O O
on O O
without O O
it O O
. O O
Having O O
had O O
some O O
time O O
at O O
my B-PER O
disposal O O
when O O
in O O
London O O
, O O
I B-PER O
had O O
visited O O
the O O
British O O
Museum O O
, O O
and O O
made O O
search O O
among O O
the O O
books O O
and O O
maps O O
in O O
the O O
library O O
regarding O O
Transylvania O O
; O O
it O O
had O O
struck O O
me B-PER O
that O O
some O O
foreknowledge O O
of O O
the O O
country O O
could O O
hardly O O
fail O O
to O O
have O O
some O O
importance O O
in O O
dealing O O
with O O
a B-PER O
nobleman I-PER O
of I-PER O
that I-PER O
country I-PER O
. O O
I B-PER O
find O O
that O O
the O O
district O O
he B-PER O
named O O
is O O
in O O
the O O
extreme O O
east O O
of O O
the O O
country O O
, O O
just O O
on O O
the O O
borders O O
of O O
three O O
states O O
, O O
Transylvania O O
, O O
Moldavia O O
and O O
Bukovina O O
, O O
in O O
the O O
midst O O
of O O
the O O
Carpathian O O
mountains O O
; O O
one O O
of O O
the O O
wildest O O
and O O
least O O
known O O
portions O O
of O O
Europe O O
. O O
I B-PER O
was O O
not O O
able O O
to O O
light O O
on O O
any O O
map O O
or O O
work O O
giving O O
the O O
exact O O
locality O O
of O O
the O O
Castle O O
Dracula B-PER O
, O O
as O O
there O O
are O O
no O O
maps O O
of O O
this O O
country O O
as O O
yet O O
to O O
compare O O
with O O
our B-PER O
own O O
Ordnance O O
Survey O O
maps O O
; O O
but O O
I B-PER O
found O O
that O O
Bistritz O O
, O O
the O O
post O O
town O O
named O O
by O O
Count B-PER O
Dracula I-PER B-PER
, O O
is O O
a O O
fairly O O
well O O
- O O
known O O
place O O
. O O
I B-PER O
shall O O
enter O O
here O O
some O O
of O O
my B-PER O
notes O O
, O O
as O O
they O O
may O O
refresh O O
my B-PER O
memory O O
when O O
I B-PER O
talk O O
over O O
my B-PER O
travels O O
with O O
Mina B-PER B-PER
. O O
In O O
the B-PER O
population I-PER O
of I-PER O
Transylvania I-PER O
there O O
are O O
four B-PER O
distinct I-PER O
nationalities I-PER O
: O O
Saxons B-PER O
in I-PER O
the I-PER O
South I-PER O
, O O
and O O
mixed O O
with O O
them B-PER O
the B-PER O
Wallachs I-PER O
, I-PER O
who I-PER O
are I-PER O
the I-PER O
descendants I-PER O
of I-PER O
the I-PER O
Dacians I-PER O
; O O
Magyars B-PER O
in I-PER O
the I-PER O
West I-PER O
, O O
and O O
Szekelys B-PER O
in I-PER O
the I-PER O
East I-PER O
and I-PER O
North I-PER O
. O O
I B-PER O
am O O
going O O
among O O
the O O
latter O O
, O O
who O O
claim O O
to O O
be O O
descended O O
from O O
Attila B-PER B-PER
and O O
the B-PER O
Huns I-PER O
. O O
This O O
may O O
be O O
so O O
, O O
for O O
when O O
the B-PER O
Magyars I-PER O
conquered O O
the O O
country O O
in O O
the O O
eleventh O O
century O O
they B-PER O
found O O
the B-PER O
Huns I-PER O
settled O O
in O O
it O O
. O O
I B-PER O
read O O
that O O
every O O
known O O
superstition O O
in O O
the O O
world O O
is O O
gathered O O
into O O
the O O
horseshoe O O
of O O
the O O
Carpathians O O
, O O
as O O
if O O
it O O
were O O
the O O
centre O O
of O O
some O O
sort O O
of O O
imaginative O O
whirlpool O O
; O O
if O O
so O O
my B-PER O
stay O O
may O O
be O O
very O O
interesting O O
. O O
( O O
_ O O
Mem O O
. O O
_ O O
, O O
I B-PER O
must O O
ask O O
the B-PER O
Count I-PER O
all O O
about O O
them B-PER O
. O O
) O O
I B-PER O
did O O
not O O
sleep O O
well O O
, O O
though O O
my B-PER O
bed O O
was O O
comfortable O O
enough O O
, O O
for O O
I B-PER O
had O O
all O O
sorts O O
of O O
queer O O
dreams O O
. O O
There O O
was O O
a O O
dog O O
howling O O
all O O
night O O
under O O
my O O
window O O
, O O
which O O
may O O
have O O
had O O
something O O
to O O
do O O
with O O
it O O
; O O
or O O
it O O
may O O
have O O
been O O
the O O
paprika O O
, O O
for O O
I B-PER O
had O O
to O O
drink O O
up O O
all O O
the O O
water O O
in O O
my O O
carafe O O
, O O
and O O
was O O
still O O
thirsty O O
. O O
Towards O O
morning O O
I B-PER O
slept O O
and O O
was O O
wakened O O
by O O
the O O
continuous O O
knocking O O
at O O
my B-PER O
door O O
, O O
so O O
I B-PER O
guess O O
I B-PER O
must O O
have O O
been O O
sleeping O O
soundly O O
then O O
. O O
I B-PER O
had O O
for O O
breakfast O O
more O O
paprika O O
, O O
and O O
a O O
