She B-PER O
was O O
the B-PER O
youngest I-PER O
of I-PER O
the I-PER O
two I-PER O
daughters I-PER O
of I-PER O
a I-PER O
most I-PER O
affectionate I-PER O
, I-PER O
indulgent I-PER O
father I-PER O
; O O
and O O
had O O
, O O
in O O
consequence O O
of O O
her B-PER O
sister I-PER O
's O O
marriage O O
, O O
been O O
mistress B-PER O
of I-PER O
his I-PER O
house I-PER O
from O O
a O O
very O O
early O O
period O O
. O O
Her B-PER O
mother I-PER O
had O O
died O O
too O O
long O O
ago O O
for O O
her B-PER O
to O O
have O O
more O O
than O O
an O O
indistinct O O
remembrance O O
of O O
her B-PER O
caresses O O
; O O
and O O
her B-PER O
place O O
had O O
been O O
supplied O O
by O O
an B-PER O
excellent I-PER O
woman I-PER O
as I-PER O
governess I-PER O
, I-PER O
who I-PER O
had I-PER O
fallen I-PER O
little I-PER O
short I-PER O
of I-PER O
a I-PER O
mother I-PER O
in I-PER O
affection I-PER O
. O O
Sixteen O O
years O O
had O O
Miss O B-PER
Taylor B-PER I-PER
been O O
in O O
Mr. O B-PER
Woodhouse B-PER I-PER
's O O
family O O
, O O
less O O
as O O
a B-PER O
governess I-PER O
than O O
a B-PER O
friend I-PER O
, O O
very O O
fond O O
of O O
both B-PER O
daughters I-PER O
, O O
but O O
particularly O O
of O O
Emma B-PER B-PER
. O O
Between O O
_ O O
them B-PER O
_ O O
it O O
was O O
more O O
the O O
intimacy O O
of O O
sisters B-PER O
. O O
Even O O
before O O
Miss O B-PER
Taylor B-PER I-PER
had O O
ceased O O
to O O
hold O O
the O O
nominal O O
office O O
of O O
governess O O
, O O
the O O
mildness O O
of O O
her B-PER O
temper O O
had O O
hardly O O
allowed O O
her B-PER O
to O O
impose O O
any O O
restraint O O
; O O
and O O
the O O
shadow O O
of O O
authority O O
being O O
now O O
long O O
passed O O
away O O
, O O
they B-PER O
had O O
been O O
living O O
together O O
as O O
friend B-PER O
and I-PER O
friend I-PER O
very I-PER O
mutually I-PER O
attached I-PER O
, O O
and O O
Emma B-PER B-PER
doing O O
just O O
what O O
she B-PER O
liked O O
; O O
highly O O
esteeming O O
Miss O B-PER
Taylor B-PER I-PER
's O O
judgment O O
, O O
but O O
directed O O
chiefly O O
by O O
her B-PER O
own O O
. O O
The O O
real O O
evils O O
, O O
indeed O O
, O O
of O O
Emma B-PER B-PER
's O O
situation O O
were O O
the O O
power O O
of O O
having O O
rather O O
too O O
much O O
her B-PER O
own O O
way O O
, O O
and O O
a O O
disposition O O
to O O
think O O
a O O
little O O
too O O
well O O
of O O
herself B-PER O
; O O
these O O
were O O
the O O
disadvantages O O
which O O
threatened O O
alloy O O
to O O
her B-PER O
many O O
enjoyments O O
. O O
The O O
danger O O
, O O
however O O
, O O
was O O
at O O
present O O
so O O
unperceived O O
, O O
that O O
they O O
did O O
not O O
by O O
any O O
means O O
rank O O
as O O
misfortunes O O
with O O
her B-PER O
. O O
Sorrow O O
came O O
-- O O
a O O
gentle O O
sorrow O O
-- O O
but O O
not O O
at O O
all O O
in O O
the O O
shape O O
of O O
any O O
disagreeable O O
consciousness O O
. O O
-- O O
Miss O B-PER
Taylor B-PER I-PER
married O O
. O O
It O O
was O O
Miss O B-PER
Taylor B-PER I-PER
's O O
loss O O
which O O
first O O
brought O O
grief O O
. O O
It O O
was O O
on O O
the O O
wedding O O
- O O
day O O
of O O
this O O
beloved B-PER O
friend I-PER O
that O O
Emma B-PER B-PER
first O O
sat O O
in O O
mournful O O
thought O O
of O O
any O O
continuance O O
. O O
The O O
wedding O O
over O O
, O O
and O O
the B-PER O
bride I-PER O
- I-PER O
people I-PER O
gone O O
, O O
her B-PER O
father I-PER O
and O O
herself B-PER O
were O O
left O O
to O O
dine O O
together O O
, O O
with O O
no O O
prospect O O
of O O
a O O
third O O
to O O
cheer O O
a O O
long O O
evening O O
. O O
Her B-PER O
